pairs,cc
"('id', 'id')",1.0
"('Age_house', 'yr_built')",0.9998731879509323
"('sqft_above', 'sqft_living')",0.8764477590354977
"('sqft_living', 'grade')",0.7627790466721378
"('sqft_living15', 'sqft_living')",0.7564015282475041
"('grade', 'sqft_above')",0.7560725698193778
"('bathrooms', 'sqft_living')",0.7557576009502519
"('Time_since_renovation', 'yr_renovated')",0.7512894312639077
"('sqft_living15', 'sqft_above')",0.731766803847754
"('sqft_lot15', 'sqft_lot')",0.7182040308060933
"('sqft_living15', 'grade')",0.71386711786554
"('price', 'sqft_living')",0.7019173021377559
"('bathrooms', 'sqft_above')",0.686667793202443
"('price', 'grade')",0.667950771387642
"('grade', 'bathrooms')",0.6658378437948658
"('sqft_above', 'price')",0.6053679437051771
"('price', 'sqft_living15')",0.5852412017040634
"('bedrooms', 'sqft_living')",0.5782122492778425
"('bathrooms', 'sqft_living15')",0.569883861596945
"('long', 'zipcode')",0.5642594490613889
"('price', 'bathrooms')",0.525905621453199
"('sqft_above', 'floors')",0.5239887183292643
"('bedrooms', 'bathrooms')",0.5145078282793009
"('Age_house', 'bathrooms')",0.5075676487584314
"('yr_built', 'bathrooms')",0.5071730873365808
"('floors', 'bathrooms')",0.5025819656565149
"('Age_house', 'floors')",0.48950023798565256
"('floors', 'yr_built')",0.48919272742508607
"('bedrooms', 'sqft_above')",0.47938630894418444
"('floors', 'grade')",0.4587943581811754
"('Age_house', 'grade')",0.448320639158412
"('yr_built', 'grade')",0.447865184051011
"('sqft_basement', 'sqft_living')",0.4286604427801873
"('sqft_above', 'Age_house')",0.42439580498344687
"('yr_built', 'sqft_above')",0.42403696775134025
"('yr_built', 'long')",0.40999275637738414
"('long', 'Age_house')",0.4099835613448769
"('price', 'view')",0.39349666937937944
"('bedrooms', 'sqft_living15')",0.39340634751354475
"('waterfront', 'view')",0.38054336930286414
"('condition', 'yr_built')",0.36159155348377375
"('condition', 'Age_house')",0.3608339935766993
"('bedrooms', 'grade')",0.3565625547786355
"('floors', 'sqft_living')",0.3539533118543095
"('Age_house', 'zipcode')",0.3472306207670944
"('yr_built', 'zipcode')",0.34720952316343234
"('sqft_above', 'long')",0.3448417670449928
"('sqft_living15', 'long')",0.3356256133199971
"('Age_house', 'sqft_living15')",0.3267124859325486
"('sqft_living15', 'yr_built')",0.3263769738477363
"('price', 'sqft_basement')",0.32110756975956445
"('sqft_living', 'Age_house')",0.31859853293024165
"('sqft_living', 'yr_built')",0.3181522935200494
